类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,反例,案例编号13,新建,用户登录,,刘梦月,内屏登陆,内屏功能,总行管理员内屏登录,,总行管理员账号、密码,输入正确的账号、错误的密码点击登录,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号14,新建,用户登录,,刘梦月,内屏登陆,内屏功能,总行管理员内屏登录,,总行管理员账号、密码,账号为空，输入正确的密码,下方页面提示：账号不能为空,,UAT-2,无,无,,,
测试案例,反例,案例编号15,新建,用户登录,,刘梦月,内屏登陆,内屏功能,总行管理员内屏登录,,总行管理员账号、密码,输入正确的账号，密码为空, 下方页面提示：密码不能为空,,UAT-2,无,无,,,
测试案例,正例,案例编号16,新建,用户登录,,刘梦月,内屏登陆,内屏功能,系统管理员内屏登录,,系统管理员账号、密码,系统管理员输入正确的账号、正确密码点击登录按钮,成功登录系统,,UAT-2,无,无,,,
测试案例,反例,案例编号17,新建,用户登录,,刘梦月,内屏登陆,内屏功能,系统管理员内屏登录,,系统管理员账号、密码,输入错误的账号、正确的密码点击登录按钮,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号18,新建,用户登录,,刘梦月,内屏登陆,内屏功能,系统管理员内屏登录,,系统管理员账号、密码,输入正确的账号、错误的密码点击登录,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号19,新建,用户登录,,刘梦月,内屏登陆,内屏功能,系统管理员内屏登录,,系统管理员账号、密码,账号为空，输入正确的密码,下方页面提示：账号不能为空,,UAT-2,无,无,,,
测试案例,反例,案例编号20,新建,用户登录,,刘梦月,内屏登陆,内屏功能,系统管理员内屏登录,,系统管理员账号、密码,输入正确的账号，密码为空, 下方页面提示：密码不能为空,,UAT-2,无,无,,,
测试案例,正例,案例编号21,新建,修改密码,,刘梦月,系统管理,内屏功能,系统管理-修改密码,,理财经理账号、原密码、新密码,"1.理财经理登录内屏系统
2.我的工作台-系统管理-修改密码
3.输入原密码，新密码两次","1.弹出修改密码界面
2.修改成功",,UAT-2,无,无,,,
测试案例,反例,案例编号22,新建,修改密码,,刘梦月,系统管理,内屏功能,系统管理-修改密码,,理财经理账号、原密码、新密码,"1.理财经理登录内屏系统
2.我的工作台-系统管理-修改密码
3.不输入原密码，新密码两次","1.弹出修改密码界面
2.无法修改",,UAT-2,无,无,,,
测试案例,反例,案例编号23,新建,修改密码,,刘梦月,系统管理,内屏功能,系统管理-修改密码,,理财经理账号、原密码、新密码,"1.理财经理登录内屏系统
2.我的工作台-系统管理-修改密码
3.输入错误的原密码，新密码两次","1.弹出修改密码界面
2.显示原密码错误",,UAT-2,无,无,,,
测试案例,反例,案例编号24,新建,修改密码,,刘梦月,系统管理,内屏功能,系统管理-修改密码,,理财经理账号、原密码、新密码,"1.理财经理登录内屏系统
2.我的工作台-系统管理-修改密码
3.输入原密码输入不一致的新密码","1.弹出修改密码界面
2.提示新密码两次不一致",,UAT-2,无,无,,,
测试案例,正例,案例编号25,新建,工作台,,刘梦月,内屏登陆,内屏功能,工作台首页展示,,理财经理登录,进入内屏系统,工作台首页展示客户访问量、产品交易笔数、客户提醒数、最新产品、客户提醒、今日电访、今日到访等信息,,UAT-2,无,无,,,
测试案例,正例,案例编号26,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,点击我的工作台，下拉至今日到访,展示今日登陆财富E站通外屏的客户数，设备编号、客户号、客户姓名、证件号码、服务开始时间、服务结束时间,,UAT-2,无,无,,,
测试案例,反例,案例编号27,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,点击设备编号,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号28,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,客户号,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号29,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,客户姓名,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号30,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,客户身份证号,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号31,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,服务开始时间,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号32,新建,工作台,,刘梦月,客户访问量,内屏功能,客户访问量,,理财经理登录,服务结束时间,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号33,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,进入工作台点击最近产品,列表展示编号、产品代码、产品名称、产品类型、上架时间,,UAT-2,无,无,,,
测试案例,正例,案例编号34,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,点击一条查看,显示产品详情,,UAT-2,无,无,,,
测试案例,正例,案例编号35,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,点击可查看更多最新产品情况,显示更多的产品信息情况基本信息、管理信息、产品附件、销售机构、产品话术,,UAT-2,无,无,,,
测试案例,反例,案例编号36,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,编辑编号,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号37,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,编辑产品代码,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号38,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,编辑产品名称,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号39,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,编辑产品类型,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号40,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品,,理财经理登录,编辑上架时间,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号41,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,进入工作台查看客户提醒列表,显示客户号、客户姓名、性别、客户等级、电话、存款产品、产品到期日、生日日期,,UAT-2,无,无,,,
测试案例,反例,案例编号42,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑客户号,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号43,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑客户姓名,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号44,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑性别,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号45,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑客户等级,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号46,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑电话,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号47,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑存款产品,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号48,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑产品到期日,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号49,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑生日日期,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号50,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,编辑点击操作,可拨打电话,,UAT-2,无,无,,,
测试案例,正例,案例编号51,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理登录,点击可查看更多,可查看更多客户提醒情况,,UAT-2,无,无,,,
测试案例,正例,案例编号52,新建,工作台,,刘梦月,今日电访,内屏功能,今日电访,,理财经理登录,进入工作台查看今日电访,显示电访编号、客户姓名、电话号码、通话时长、最后拨打时间,,UAT-2,无,无,,,
测试案例,反例,案例编号53,新建,工作台,,刘梦月,今日到访,内屏功能,今日到访,,理财经理登录,编辑电访编号、客户姓名、电话号码、通话时长、最后拨打时间,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号54,新建,工作台,,刘梦月,今日到访,内屏功能,今日到访,,理财经理登录,进入工作台查看客户,设备编号、客户号、客户姓名、证件号码、服务开始时间、服务结束时间 ,,UAT-2,无,无,,,
测试案例,反例,案例编号55,新建,工作台,,刘梦月,今日到访,内屏功能,今日到访,,理财经理登录,编辑设备编号、客户号、客户姓名、证件号码、服务开始时间、服务结束时间 ,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号56,新建,工作台,,刘梦月,自营理财,内屏功能,今日到访,,理财经理登录,点击查看更多,显示更多今日到访信息,,UAT-2,无,无,,,
测试案例,正例,案例编号57,新建,工作台,,刘梦月,自营理财,内屏功能,总行管理员操作,,总行管理员登录,"1、总行管理员登录
2、点击上架","1、显示自营理财产品
2、可对产品进行上架操作",,UAT-2,无,无,,,
测试案例,正例,案例编号58,新建,工作台,,刘梦月,自营理财,内屏功能,总行管理员操作,,总行管理员登录,"1、总行管理员登录
2、点击下架","1、显示自营理财产品
2、可对产品进行下架操作",,UAT-2,无,无,,,
测试案例,正例,案例编号59,新建,工作台,,刘梦月,自营理财,内屏功能,总行管理员操作,,总行管理员登录,"1、总行管理员登录
2、点击全部下架","1、显示自营理财产品
2、可对产品进行全部下架操作",,UAT-2,无,无,,,
测试案例,正例,案例编号60,新建,工作台,,刘梦月,自营理财,内屏功能,总行管理员操作,,总行管理员登录,"1、总行管理员登录
2、点击全部上架","1、显示自营理财产品
2、可对产品进行全部上架操作",,UAT-2,无,无,,,
测试案例,正例,案例编号61,新建,工作台,,刘梦月,自营理财,内屏功能,分行管理员操作,,分行管理员登录,"1、分行管理员登录
2、点击详情按钮可查看产品详细信息",显示产品详情,,UAT-2,无,无,,,
测试案例,正例,案例编号62,新建,工作台,,刘梦月,自营理财,内屏功能,支行管理员操作,,支行管理员账号、密码,"1、支行管理员登录
2、点击详情按钮",显示产品详情,,UAT-2,无,无,,,
测试案例,正例,案例编号63,新建,工作台,,刘梦月,自营理财,内屏功能,支行管理员操作,,支行管理员账号、密码,点击置首页按钮,可对产品进行置首页操作,,UAT-2,无,无,,,
测试案例,正例,案例编号64,新建,工作台,,刘梦月,自营理财,内屏功能,理财经理操作,,理财经理账号、密码,"1、理财经理登录
2、点击详情按钮",显示产品详细信息,,UAT-2,无,无,,,
测试案例,正例,案例编号65,新建,工作台,,刘梦月,自营理财,内屏功能,理财经理操作,,理财经理账号、密码,点击置首页按钮,产品置顶,,UAT-2,无,无,,,
测试案例,正例,案例编号66,新建,工作台,,刘梦月,自营理财,内屏功能,理财经理操作,,理财经理账号、密码,点击推送按钮可将产品推送至外屏,外屏已推送,,UAT-2,无,无,,,
测试案例,反例,案例编号67,新建,工作台,,刘梦月,自营理财,内屏功能,理财经理操作,,理财经理账号、密码,用户未登录点击推送按钮,外屏未登录无法推送,,UAT-2,无,无,,,
测试案例,正例,案例编号68,新建,工作台,,刘梦月,自营理财,内屏功能,查询理财信息,,理财经理账号、密码,点击查看理财产品,可查看点击可进行详情查看/产品上架/产品下架/产品置首页/产品推送操作,,UAT-2,无,无,,,
测试案例,正例,案例编号69,新建,工作台,,刘梦月,自营理财,内屏功能,产品管理-理财产品(自营）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-自营理财
2选择一种理财产品，点击详情",显示理财产品名称，起售金额，起始日期和到期日，风险等级,,UAT-2,无,无,,,
测试案例,正例,案例编号70,新建,工作台,,刘梦月,自营理财,内屏功能,产品管理-理财产品(自营）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-自营理财
2.点击查询",显示全部理财信息,,UAT-2,无,无,,,
测试案例,反例,案例编号71,新建,工作台,,刘梦月,自营理财,内屏功能,产品管理-理财产品(自营）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-自营理财
2.输入不正确的产品代码",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号72,新建,工作台,,刘梦月,自营理财,内屏功能,产品管理-理财产品(自营）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-自营理财
2.输入不正确的产品名称",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号73,新建,工作台,,刘梦月,自营理财,内屏功能,产品代码,,理财经理账号、密码,点击产品代码编辑,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号74,新建,工作台,,刘梦月,自营理财,内屏功能,产品名称,,理财经理账号、密码,编辑产品名称,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号75,新建,工作台,,刘梦月,自营理财,内屏功能,产品状态,,理财经理账号、密码,编辑产品状态,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号76,新建,工作台,,刘梦月,自营理财,内屏功能,上下架状态,,理财经理账号、密码,编辑上架状态,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号77,新建,工作台,,刘梦月,自营理财,内屏功能,起购金额,,理财经理账号、密码,编辑起购金额,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号78,新建,工作台,,刘梦月,自营理财,内屏功能,投资期限,,理财经理账号、密码,编辑投资期限,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号79,新建,工作台,,刘梦月,自营理财,内屏功能,年化利率,,理财经理账号、密码,编辑年化利率,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号80,新建,工作台,,刘梦月,自营理财,内屏功能,业绩比较基准,,理财经理账号、密码,编辑业绩比较基准,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号81,新建,工作台,,刘梦月,自营理财,内屏功能,募集开始日期,,理财经理账号、密码,编辑募集开始日期,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号82,新建,工作台,,刘梦月,自营理财,内屏功能,募集结束日期,,理财经理账号、密码,编辑募集结束日期,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号83,新建,工作台,,刘梦月,自营理财,内屏功能,最后更新时间,,理财经理账号、密码,编辑最后更新时间,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号84,新建,工作台,,刘梦月,代销理财,内屏功能,查询理财信息,,理财经理账号、密码,点击查看理财产品,可查看点击可进行详情查看/产品上架/产品下架/产品置首页/产品推送操作,,UAT-2,无,无,,,
测试案例,反例,案例编号85,新建,工作台,,刘梦月,代销理财,内屏功能,编辑理财信息,,理财经理账号、密码,"编辑产品代码、产品名称、产品状态、上下架状态、起购金额、投资期限、年化利率、业绩比较基准、募集开始日期、募集结束日期、是否热销
是否置首、页
是否置顶、最后更新时间",全部不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号86,新建,工作台,,刘梦月,代销理财,内屏功能,产品管理-理财产品(代销）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-代销理财
2.选择一种理财产品，点击详情",显示理财产品名称，起售金额，起始日期和到期日，风险等级,,UAT-2,无,无,,,
测试案例,正例,案例编号87,新建,工作台,,刘梦月,代销理财,内屏功能,产品管理-理财产品(代销）,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-理财产品-代销理财
2.点击查询",显示全部理财信息,,UAT-2,无,无,,,
测试案例,正例,案例编号88,新建,工作台,,刘梦月,保险管理,内屏功能,产品管理-保险管理-查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-保险管理
2.选择一种保险产品，点击详情","显示产品名称、险种、风险等级、产品代码、保险产品类型等
",,UAT-2,无,无,,,
测试案例,正例,案例编号89,新建,工作台,,刘梦月,保险管理,内屏功能,产品管理-保险管理-查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-保险管理
2.点击查询",显示全部保险产品信息,,UAT-2,无,无,,,
测试案例,反例,案例编号90,新建,工作台,,刘梦月,保险管理,内屏功能,产品管理-保险管理-查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-保险管理
2.输入不正确的保险产品名称",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号91,新建,工作台,,刘梦月,保险管理,内屏功能,产品管理-保险管理-查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-保险管理
2.输入不正确的保险产品代码",1.列表回显为空,,UAT-2,无,无,,,
测试案例,正例,案例编号92,新建,工作台,,刘梦月,存款管理,内屏功能,产品管理-存款管理,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-存款管理
2.选择一种存款产品，点击详情",显示产品名称、产品利率、起存金额、计息类型,,UAT-2,无,无,,,
测试案例,正例,案例编号93,新建,工作台,,刘梦月,存款管理,内屏功能,产品管理-存款管理,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-存款管理
2.点击查询",显示全部存款信息,,UAT-2,无,无,,,
测试案例,反例,案例编号94,新建,工作台,,刘梦月,存款管理,内屏功能,产品管理-存款管理,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-存款管理
2.输入不正确的存款代码",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号95,新建,工作台,,刘梦月,存款管理,内屏功能,产品管理-存款管理,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-存款管理
2.输入不正确的存款名称",1.列表回显为空,,UAT-2,无,无,,,
测试案例,正例,案例编号96,新建,工作台,,刘梦月,存款管理,内屏功能,产品管理-存款管理,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-存款管理
2.输入正确的存款名称",显示产品名称、产品利率、起存金额、计息类型,,UAT-2,无,无,,,
测试案例,正例,案例编号97,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-贵金属查询
2.点击查询",显示全部贵金属产品,,UAT-2,无,无,,,
测试案例,正例,案例编号98,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-贵金属查询
2.输入产品名称，点击查询",显示该产品的详细信息,,UAT-2,无,无,,,
测试案例,反例,案例编号99,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-贵金属查询
2.输入不正确产品代码，点击查询",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号100,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,"1.理财经理登录，我的工作台-产品管理-贵金属查询
3.输入不正确产品名称，点击查询",1.列表回显为空,,UAT-2,无,无,,,
测试案例,反例,案例编号101,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,编辑产品详情、产品代码、规格、价格,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号102,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,编辑供应商、销售渠道,不可编辑,,UAT-2,无,无,,,
测试案例,反例,案例编号103,新建,工作台,,刘梦月,贵金属,内屏功能,贵金属详查询,,理财经理账号、密码,编辑库存量、是否提金,不可编辑,,UAT-2,无,无,,,
测试案例,正例,案例编号104,新建,工作台,,刘梦月,最新产品展示,内屏功能,理财经理登录内屏,,理财经理账号、密码,点击左侧的[最新产品]按钮或最新产品中的【查看更多】按钮,1.展示4个最新产品，NO，产品名称，产品类型，上架时间,,UAT-2,无,无,,,
测试案例,正例,案例编号105,新建,工作台,,刘梦月,最新产品展示,内屏功能,最新产品展示,,理财经理账号、密码,点击【查看详情】可查看最新产品详情,产品信息主要包含基本信息、管理信息、产品附件、销售机构等信息,,UAT-2,无,无,,,
测试案例,正例,案例编号106,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理账号、密码,理财经理在内屏工作台首页中可查看客户提醒,显示客户提醒和生日提醒,,UAT-2,无,无,,,
测试案例,正例,案例编号107,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理账号、密码,理财经理点击左侧的[客户提醒]按钮或客户提醒中的【查看更多】按钮,显示客户号、证件号码、客户姓名、服务时间、设备编号、服务人,,UAT-2,无,无,,,
测试案例,正例,案例编号108,新建,工作台,,刘梦月,客户提醒,内屏功能,客户提醒,,理财经理账号、密码,理财经理点击拨打电话进行电访,系统可保存相应的录音，理财经理可在现场服务进行查看,,UAT-2,无,无,,,
测试案例,正例,案例编号109,新建,工作台,,刘梦月,内屏工作条,内屏功能,同屏,,理财经理账号、密码,理财经理在工具条上点击[同屏]按钮,可实现内外同屏,,UAT-2,无,无,,,
测试案例,正例,案例编号110,新建,工作台,,刘梦月,内屏工作条,内屏功能,同屏,,理财经理账号、密码,理财经理在工具条上点击[同屏]按钮,理财经理可看到外屏客户的界面,,UAT-2,无,无,,,
测试案例,正例,案例编号111,新建,工作台,,刘梦月,内屏工作条,内屏功能,同屏,,理财经理账号、密码,理财经理在同屏界面进行标注操作,客户可以在外屏可同步看到到标准信息,,UAT-2,无,无,,,
测试案例,正例,案例编号112,新建,工作台,,刘梦月,内屏工作条,内屏功能,截屏,,理财经理账号、密码,理财经理点击[截屏]按钮,截屏成功,,UAT-2,无,无,,,
测试案例,正例,案例编号113,新建,工作台,,刘梦月,内屏工作条,内屏功能,截屏,,理财经理账号、密码,选择区域进行截屏并可发送至外屏,成功发送到外屏,,UAT-2,无,无,,,
测试案例,正例,案例编号114,新建,工作台,,刘梦月,内屏工作条,内屏功能,截屏,,理财经理账号、密码,点击[重启外屏]按钮,可重启外屏机器,,UAT-2,无,无,,,
测试案例,正例,案例编号115,新建,工作台,,刘梦月,内屏工作条,内屏功能,截屏,,理财经理账号、密码,点击[关闭外屏]按钮,可关闭外屏机器,,UAT-2,无,无,,,
测试案例,正例,案例编号116,新建,工作台,,刘梦月,用户退出,内屏功能,理财经理登录后退出系统,,理财经理登录,1.点击退出,"1.弹出信息提示框，提示内容：你确定要退出吗？
2.用户退出系统",,UAT-2,无,无,,,
测试案例,正例,案例编号117,新建,查询打印,,刘梦月,现场服务,内屏功能,理财经理登录内屏，现场服务,,理财经理登录,"1.理财经理登录内屏系统
2.我的工作台-现场服务-服务明细-选择一条打印","1.显示所有业务流水
2.打印成功",,UAT-2,无,无,,,
测试案例,正例,案例编号118,新建,工作台,,刘梦月,现场服务,内屏功能,制定联络计划界面内容检查,,理财经理登录,"1、客户管理-客户列表-制定联络计划
2.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号119,新建,工作台,,刘梦月,现场服务,内屏功能,制定联络计划测试,,理财经理登录,1.点击“制定客户联络计划”2.选择联络方式：电话沟通；以及计划联系的时间；并选择联络目的，输入备注；3.点击“确认”按钮,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号120,新建,工作台,,刘梦月,现场服务,内屏功能,制定联络计划测试,,理财经理登录,1.点击“制定客户联络计划”2.选择联络方式：上门拜访；以及计划联系的时间；并选择联络目的，输入备注；4.点击“确认”按钮,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号121,新建,工作台,,刘梦月,现场服务,内屏功能,制定联络计划测试,,理财经理登录,1.点击“制定客户联络计划”2.选择联络方式：网点服务；以及计划联系的时间；并选择联络目的，输入备注；5.点击“确认”按钮。,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号122,新建,工作台,,刘梦月,现场服务,内屏功能,制定联络计划测试,,理财经理登录,1.点击“制定客户联络计划”2.选择联络方式：短信联系；以及计划联系的时间；并选择联络目的，输入备注；6.点击“确认”按钮。,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号123,新建,工作台,,刘梦月,现场服务,内屏功能,取消功能测试,,理财经理登录,1.点击“制定客户联络计划”2.选择联络方式：短信联系；以及计划联系的时间；并选择联络目的，输入备注；6.点击“取消”按钮。,取消成功,,UAT-2,无,无,,,
测试案例,正例,案例编号124,新建,工作台,,刘梦月,现场服务,内屏功能,批量制定联络计划界面内容检查,,理财经理登录,"1、客户管理-客户列表-批量制定联络计划
2.检查界面展示内容",展示内容与需求一致,,UAT-2,无,无,,,
测试案例,正例,案例编号125,新建,工作台,,刘梦月,现场服务,内屏功能,批量制定联络计划测试,,理财经理登录,1.点击“批量制定客户联络计划”2.选择联络方式：电话沟通；以及计划联系的时间；并选择联络目的，输入备注；3.点击“确认”按钮,新增成功,,UAT-2,无,无,,,
测试案例,正例,案例编号126,新建,工作台,,刘梦月,现场服务,内屏功能,批量制定联络计划测试,,理财经理登录,1.点击“批量制定客户联络计划”2.选择联络方式：上门拜访；以及计划联系的时间；并选择联络目的，输入备注；4.点击“确认”按钮,新增成功,,UAT-2,无,无,,,
