软件包名,版本,危害,后门类型,语言,IOC,MD5,财富E站通,智能网点,,,,,,,
@immersive-composer/backend-resources,10.0.3,敏感信息泄露,敏感信息收集,nodejs,"[""stringminiinfo.kedrns.com"", ""entmkmz7hb8cl7p.m.pipedream.net""]",eb362df5d645f8bd47f9fc9dcf4c579a,,,,,,,,,
@immersive-composer/backend-resources-types,10.0.0,敏感信息泄露,敏感信息收集,nodejs,["kedrns.com"],376ff0fac066f18f3eaf0ec18b509d0a,,,,,,,,,
@immersive-composer/backend-resources-types,10.0.1,敏感信息泄露,敏感信息收集,nodejs,["kedrns.com"],dd4c93955d21157fa30a0c3ad244606f,,,,,,,,,
@immersive-composer/backend-resources-types,10.0.2,敏感信息泄露,敏感信息收集,nodejs,["kedrns.com"],8853c8bf1bbe2151096a04f2e910af38,,,,,,,,,
@immersive-composer/scripting-api,11.0.0,敏感信息泄露,敏感信息收集,nodejs,["kedrns.com"],19b5b2ee13eacb3a5ff0d50b5782f91e,,,,,,,,,
@lightdash/cli,0.130.1,敏感信息泄露,敏感信息收集,nodejs,[],91132082c1c8410d6097259602a904f9,,,,,,,,,
@lightdash/cli,0.130.0,敏感信息泄露,敏感信息收集,nodejs,[],fbe1930de6770e94cdb443b923bc57df,,,,,,,,,
@lightdash/cli,0.130.2,敏感信息泄露,敏感信息收集,nodejs,[],7e79c6981beeefbd386c80af09b595a6,,,,,,,,,
@lightdash/cli,0.131.1,敏感信息泄露,敏感信息收集,nodejs,[],3ef1545f18a922be202810b17b2344cc,,,,,,,,,
@lightdash/cli,0.132.3,敏感信息泄露,敏感信息收集,nodejs,[],b896b26a5ade73976fc857295b1024ba,,,,,,,,,
@lightdash/cli,0.132.2,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],7ba6a1202587c72e2f0af99dcd5346fd,,,,,,,,,
@lightdash/cli,0.132.4,敏感信息泄露,敏感信息收集,nodejs,[],b87d7ed5e609ac35c150a6da62d8bfe9,,,,,,,,,
@lightdash/cli,0.133.0,敏感信息泄露,敏感信息收集,nodejs,[],88c52776ff8b62c693af6ccb9d4489d0,,,,,,,,,
@lightdash/cli,0.134.0,敏感信息泄露,敏感信息收集,nodejs,[],057abbc1d2e6025775f48252ee6c1b41,,,,,,,,,
@lightdash/cli,0.134.1,敏感信息泄露,敏感信息收集,nodejs,[],869483b4f37a5f065ad14e00495e2089,,,,,,,,,
@lightdash/cli,0.134.5,敏感信息泄露,敏感信息收集,nodejs,[],6b9ac8e39b6e88fdc8c88bcb904d0edd,,,,,,,,,
@lightdash/cli,0.134.6,敏感信息泄露,敏感信息收集,nodejs,[],6150890591434dca0bcddf13f709bb3a,,,,,,,,,
@lightdash/cli,0.134.8,敏感信息泄露,敏感信息收集,nodejs,[],28f051228d6b6def1f57795561552a31,,,,,,,,,
@lightdash/cli,0.134.10,敏感信息泄露,敏感信息收集,nodejs,[],6a8483d6f8fed8ed8cefcc4b6625d73a,,,,,,,,,
@lightdash/cli,0.134.7,敏感信息泄露,敏感信息收集,nodejs,[],4cf7bb04c08f65b1710a34d5db1653e6,,,,,,,,,
@lightdash/cli,0.134.9,敏感信息泄露,敏感信息收集,nodejs,[],d46e8da6617fc81c49354b3b77780a9b,,,,,,,,,
@lightdash/cli,0.134.11,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],06ab8995d2878238c25c2cebd6c61cde,,,,,,,,,
@lightdash/cli,0.137.0,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],7049477e74c625bba58acf3c3951bbc2,,,,,,,,,
@lightdash/cli,0.141.0,敏感信息泄露,敏感信息收集,nodejs,[],629d3d4bec6b52fe4214a40a01eb8eb4,,,,,,,,,
@lightdash/cli,0.143.0,敏感信息泄露,敏感信息收集,nodejs,[],53d8297c4bde6ab75b0d0baf33a00637,,,,,,,,,
@lightdash/cli,0.144.0,敏感信息泄露,敏感信息收集,nodejs,[],3ca1be5f5cefd0b4772ddd819f81f57e,,,,,,,,,
@lightdash/cli,0.144.5,敏感信息泄露,敏感信息收集,nodejs,[],5cc68a5f5ccff367e37de9849f9b37f2,,,,,,,,,
@lightdash/cli,0.144.6,敏感信息泄露,敏感信息收集,nodejs,[],55c39e75f82d932298dfba4a5afc3e5d,,,,,,,,,
@lightdash/cli,0.145.0,敏感信息泄露,敏感信息收集,nodejs,[],0f8cffd192384d0ffb2de06898dfd7e6,,,,,,,,,
@lightdash/cli,0.148.0,敏感信息泄露,敏感信息收集,nodejs,[],0010f83845eb1bc149ac96ac910ce1b8,,,,,,,,,
@lightdash/cli,0.149.0,敏感信息泄露,敏感信息收集,nodejs,[],337ac3173c587619affda01838c0b04f,,,,,,,,,
@lightdash/cli,0.150.1,敏感信息泄露,敏感信息收集,nodejs,[],7b4491dc5cafa3c54b52e4e0a2faea9d,,,,,,,,,
@lightdash/cli,0.150.2,敏感信息泄露,敏感信息收集,nodejs,[],56563fe8a31cb97eb9e5265a6bff86f9,,,,,,,,,
@lightdash/cli,0.157.0,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],8e4616487dadcca49fbf287e0e8ff597,,,,,,,,,
@lightdash/cli,0.157.1,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],7028b45a41bc563591c0ef69a4ac7f8d,,,,,,,,,
@lightdash/cli,0.160.1,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],49713b8f0698e645189946d47b6797d9,,,,,,,,,
@lightdash/cli,0.160.2,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],5ed4f2fd560d0ebdf7e95c11bf0758b4,,,,,,,,,
@lightdash/cli,0.162.0,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],175bf6b5506d7ad77cc7418657489e6a,,,,,,,,,
@lightdash/cli,0.161.0,敏感信息泄露,敏感信息收集,nodejs,["analytics.lightdash.com"],defc7c52ae60e7121e1c6f69fa421216,,,,,,,,,
@lightdash/cli,0.164.2,敏感信息泄露,敏感信息收集,nodejs,[],fc0f85ec5a215cc87fd886f51d4fe5e6,,,,,,,,,
@lightdash/cli,0.164.1,敏感信息泄露,敏感信息收集,nodejs,[],573e387e4e621f07977c033841b39c3a,,,,,,,,,
@lightdash/cli,0.163.0,敏感信息泄露,敏感信息收集,nodejs,[],7a10ae443a8eac4db277561678c4ba08,,,,,,,,,
@lightdash/cli,0.169.0,敏感信息泄露,敏感信息收集,nodejs,[],7f60be3ba30a6e689d36a048f60288f6,,,,,,,,,
@lightdash/cli,0.170.2,敏感信息泄露,敏感信息收集,nodejs,[],90488e7cd1e12b0c8846a7a031fde7bc,,,,,,,,,
@lightdash/cli,0.171.1,敏感信息泄露,敏感信息收集,nodejs,[],2a04ce3377a365e042b7df3dd25e093c,,,,,,,,,
@lightdash/cli,0.171.2,敏感信息泄露,敏感信息收集,nodejs,[],7c04d607d29e4ecc0797fb7842f84f1a,,,,,,,,,
@lightdash/cli,0.171.5,敏感信息泄露,敏感信息收集,nodejs,[],c14069419c0cf6087b14472f49d4c657,,,,,,,,,
@lightdash/cli,0.172.0,敏感信息泄露,敏感信息收集,nodejs,[],12613e025649b6051fed26c03a260c57,,,,,,,,,
@lightdash/cli,0.172.1,敏感信息泄露,敏感信息收集,nodejs,[],d745cb4d9c42a4d0e851bee87b6620cd,,,,,,,,,
@lightdash/cli,0.173.0,敏感信息泄露,敏感信息收集,nodejs,[],994e4de7b9e803bdb6ef8e5b3dba37b6,,,,,,,,,
@lightdash/cli,0.178.0,敏感信息泄露,敏感信息收集,nodejs,[],3eba5d688bc71a85a2f8720fd87cfae5,,,,,,,,,
@lightdash/cli,0.180.0,敏感信息泄露,敏感信息收集,nodejs,[],6fbd4216a32816757bbcef2ff4151aba,,,,,,,,,
@lightdash/cli,0.180.1,敏感信息泄露,敏感信息收集,nodejs,[],a415f1b2b6db2110abf32828bdd2c252,,,,,,,,,
@lightdash/cli,0.181.0,敏感信息泄露,敏感信息收集,nodejs,[],c7caa6351fac305f68b5445c727e9520,,,,,,,,,
@lightdash/cli,0.182.0,敏感信息泄露,敏感信息收集,nodejs,[],5cc95db063b303938afca0941a9fba62,,,,,,,,,
@lightdash/cli,0.184.1,敏感信息泄露,敏感信息收集,nodejs,[],5aecddeb4f6603394505cde6be9c0c67,,,,,,,,,
@lightdash/cli,0.186.1,敏感信息泄露,敏感信息收集,nodejs,[],15c0d0a28a4efc8a490ed916898b29df,,,,,,,,,
@madflys/react,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["enjfs1iudo11g1e.m.pipedream.net"],194f39bc8a292e51a076de4bfd919e2f,,,,,,,,,
@manomano-toolbox/catalog,99.0.0,敏感信息泄露,敏感信息收集,nodejs,["caae7564jltjkuuot2pgfzikgcf9ywoqk.epicteam.fun"],739166d29092d687769a96bc161e8eef,,,,,,,,,
@otto-ec/global-debug,1.14.222,敏感信息泄露,敏感信息收集,nodejs,["pingb.in"],0100804012fc2285b8e5311c91d5d62c,,,,,,,,,
@otto-ec/toolbox,1.14.222,敏感信息泄露,敏感信息收集,nodejs,[],d8a6cc75f48c3aa1bf793a3520f340a4,,,,,,,,,
@ovh-ui/oui-checkbox,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["cak3eq2n01lh1hhcqapgtgd5jgwc17r3r.lupin.monster"],7bdea0ad27e667318352229ed377395c,,,,,,,,,
@ovh-ui/oui-criteria,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ovhouicriteria.cak3eq2n01lh1hhcqapgtgd5jgwc17r3r.lupin.monster"],7e2dd633aa6300aae6db8d5515ceae36,,,,,,,,,
@ovh-ui/oui-pagination,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ovhouispinner.cak3eq2n01lh1hhcqapgtgd5jgwc17r3r.lupin.monster"],c349ffee5394bfb628b7058a7d17877c,,,,,,,,,
@ovh-ui/oui-spinner,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ovhouispinner.cak3eq2n01lh1hhcqapgtgd5jgwc17r3r.lupin.monster"],34b3fb00fccb0c0acf44ae02b53ac9e2,,,,,,,,,
@pagetour/sdk,6.0.43,敏感信息泄露,敏感信息收集,nodejs,["cao7fopgfihso700cu0goxnnm6twgh1a1.dooracle.in"],2449656cf9d099a8660597f1c431072a,,,,,,,,,
@r1s/sarsaparilla,3.0.1,敏感信息泄露,敏感信息收集,nodejs,["canarytokens.com"],fb6aa8f6a5d1dedf32725378a8f98d5c,,,,,,,,,
@radancy/dropr-client,199.0.0,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],b429918f415439a4c211db2b114f62cf,,,,,,,,,
@radancy/dropr-client,499.0.1,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],190aa3753163e882486bf6866923b6ab,,,,,,,,,
@radancy/dropr-client,499.0.0,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],7a2b37c3af06a91a622d7bfae1246646,,,,,,,,,
@radancy/dropr-client,524.6.2,敏感信息泄露,敏感信息收集,nodejs,["185.193.126.57"],27f6ba16efa9ed3493c7692132fc88a3,,,,,,,,,
@ramp106/timetable,99.10.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],05bf82aba6d5a0a4f640113753d7ff18,,,,,,,,,
@ramp106/timetable,99.11.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],7a31c081d4cdd90446ebf4bab446532e,,,,,,,,,
@ramp106/timetable,99.12.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],7dcbba8dd52ec15fbe9319ca7e659201,,,,,,,,,
@ramp106/timetable,99.13.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],721065b9d8f898e4a0e6baa813ba84df,,,,,,,,,
@ramp106/timetable,99.14.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],68c5c480fc9cc5a6decb4e36467efdf5,,,,,,,,,
@ramp106/timetable,99.15.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],5e471cfe7f13c4076ad361d520b56bbd,,,,,,,,,
@ramp106/timetable,99.16.9,敏感信息泄露,敏感信息收集,nodejs,["en6s89wa7e2ksbh.m.pipedream.net"],79f23db2fb42a4475f7b6afe46fce2ce,,,,,,,,,
@releasebuildr/ui,0.10.4,敏感信息泄露,敏感信息收集,nodejs,["81.7.17.70"],5866b198c7e85cd5d2eaa0cf728f703d,,,,,,,,,
@releasebuildr/ui,0.10.5,敏感信息泄露,敏感信息收集,nodejs,["81.7.17.70"],3aae4954d5cd294bdb80593f214d6c01,,,,,,,,,
@riachuelo/purple_team_midway_3,3.0.2,敏感信息泄露,敏感信息收集,nodejs,["4fkqvhto528lzbq8z76gtnew3n9ex3.oastify.com"],81ee81f2e8217a1082416fbbdb08edef,,,,,,,,,
@tamagoshi/core,99.0.0,敏感信息泄露,敏感信息收集,nodejs,["caae7564jltjkuuot2pgfzikgcf9ywoqk.epicteam.fun"],095ad5ee8994b6daedd9fd56355c7171,,,,,,,,,
@tamagoshi/icons,99.0.0,敏感信息泄露,敏感信息收集,nodejs,["caae7564jltjkuuot2pgfzikgcf9ywoqk.epicteam.fun"],f223371748a665a0c57a2e1536fa7afb,,,,,,,,,
@tide-web-apps/bert2,3.2.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],0d42fe2054b86b92b5e37c7f00a5991c,,,,,,,,,
@tide-web-apps/bert2,3.4.0,敏感信息泄露,敏感信息收集,nodejs,["egym7rqqt987y4hc8zxzdv2tkkqce1.burpcollaborator.net"],feb2b0e97afc852a9eb5544b181b3003,,,,,,,,,
@tide-web-apps/bert2,3.5.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],ffc36ffd70c8e1483195e11a7fa3c5a2,,,,,,,,,
@tide-web-apps/bert2,3.8.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],0612393e373139a7fe9f65bb4d8ace4e,,,,,,,,,
@tide-web-apps/bert2,3.9.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],b7b1275b58105fbc76d7c1e40b09b602,,,,,,,,,
@tide-web-apps/bert2,4.0.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],467310f5b51555af4a7473322b1639aa,,,,,,,,,
@tide-web-apps/bert2,4.1.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],40a4b1987446f1ebb5f23a922987743f,,,,,,,,,
@tide-web-apps/bert2,4.2.0,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],009c0bf6ff00c336143a2cbaf29d0082,,,,,,,,,
@tide-web-apps/bert2,4.6.9,敏感信息泄露,敏感信息收集,nodejs,["lpetgyzx2ghe7bqjh666m2b0trzin7.burpcollaborator.net"],e27aa10182e3f834ab9b39d71826c259,,,,,,,,,
@tide-web-apps/bert2,4.7.9,敏感信息泄露,敏感信息收集,nodejs,["egym7rqqt987y4hc8zxzdv2tkkqce1.burpcollaborator.net"],24808e16eacf403ab49d2fc4553d73a4,,,,,,,,,
@tide-web-apps/bert2,5.0.0,敏感信息泄露,敏感信息收集,nodejs,["egym7rqqt987y4hc8zxzdv2tkkqce1.burpcollaborator.net"],8c12503adf0f12e440b3bbcdffaafbf4,,,,,,,,,
@tide-web-apps/global-environments,999.999.999,敏感信息泄露,敏感信息收集,nodejs,["ge.egym7rqqt987y4hc8zxzdv2tkkqce1.burpcollaborator.net"],d271248587b68a12d03ba5a5fdceff42,,,,,,,,,
@trp-gims-usi-cip/web-portal-lib,10.0.1,敏感信息泄露,敏感信息收集,nodejs,["updates.secinfo.cf"],ee70e55a5aa5d1cfb7c6e3a7734ea9b1,,,,,,,,,
@trp-innersource-ui-kit/angular-communication,6.0.1,敏感信息泄露,敏感信息收集,nodejs,["npm.skye.ml"],659a284ef6b13ada7b325748416286e6,,,,,,,,,
@trp-innersource-ui-kit/angular-navigation,6.0.1,敏感信息泄露,敏感信息收集,nodejs,["npm.skye.ml"],3ae885450d7493a323e3cf76820211b9,,,,,,,,,
@vrtnu/react-native-theo-player,2.33.0,敏感信息泄露,敏感信息收集,nodejs,["142.93.227.220"],fe11d19c5c602085c042d7161de7c342,,,,,,,,,
@vrtnu/web-components,1.90.0,敏感信息泄露,敏感信息收集,nodejs,["142.93.227.220"],dbf3161366db97e69c896f7161247b07,,,,,,,,,
@w3-commons/js-build-resources,1.0.4,敏感信息泄露,敏感信息收集,nodejs,["mc21sa91ytpqy23juiusbdx7qywokd.burpcollaborator.net"],486bedfbb7331580e3f1eb8c585dca5a,,,,,,,,,
0x-fee-wrapper-contract,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["65e4-156-205-162-99.eu.ngrok.io"],50509b7af3fdad85b07437eab5642fcc,,,,,,,,,
ably-asset-tracking-common,1.0.0,敏感信息泄露,敏感信息收集,nodejs,[],3f9367ee6c5ef335492ce6e335d196fa,,,,,,,,,
ably-common,1.2.0,敏感信息泄露,敏感信息收集,nodejs,["eoawu1sht21zwp8.m.pipedream.net"],c8e528831a54e9544745855bfabc063f,,,,,,,,,
ably-control-api-action,0.1.5,敏感信息泄露,敏感信息收集,nodejs,["eo5wgbnahpiwezj.m.pipedream.net"],1451140ba560d172d5e712737d60e6c0,,,,,,,,,
ably-engineering,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eoto5wif1yujsco.m.pipedream.net"],1db1bd40ac7c93322ef4bc34ed8f18c3,,,,,,,,,
ably-fragmenter-test,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo5wgbnahpiwezj.m.pipedream.net"],d64d5fb8342ee60893f2a695c6593cb4,,,,,,,,,
ably-latency-bot,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo5wgbnahpiwezj.m.pipedream.net"],60f35c5e55c2c0b5f9d0b002c6f1ee51,,,,,,,,,
ably-static-app,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["eo5wgbnahpiwezj.m.pipedream.net"],fbe53b44f61765307454190ab2ed6078,,,,,,,,,
accuracy-test,0.3.0,敏感信息泄露,敏感信息收集,nodejs,["ad1a-103-120-252-167.ngrok.io"],b4d5e28c120d8a4a13866745540cc3e6,,,,,,,,,
accuracy-test,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ad1a-103-120-252-167.ngrok.io"],a73eb1645bd6b08b79bfd862baea4fcd,,,,,,,,,
adblock-lists,1.0.0,敏感信息泄露,敏感信息收集,nodejs,[""],cf63a2619a8f2d40d1cbb585b91c2274,,,,,,,,,
adblock-lists,99.99.0,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],92797bfb555933bda118e9b98783e625,,,,,,,,,
adblock-lists,99.99.1,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],b79fe5c23304c0a6f819bc91c8ace4f6,,,,,,,,,
adblock-lists,99.99.2,敏感信息泄露,敏感信息收集,nodejs,["shrouded-ravine-99137.herokuapp.com"],5f1a22f3d30b5f5f34d799424c722c2b,,,,,,,,,
adblock-lists,99.99.4,敏感信息泄露,敏感信息收集,nodejs,["shr22ouded-ravine-99137.herokuapp.com"],daf5736038759aa4317564bfb2e1d4b1,,,,,,,,,
agoric-servers,7.4.5,敏感信息泄露,敏感信息收集,nodejs,["can7q3c2vtc0000e89f0gfku5tayyyyyb.interact.sh"],eabd5b44793a9a0f99d26efef47200b4,,,,,,,,,
airbnb-bootstrap-data,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],f1694cf8c8526c74344b7a84444131c2,,,,,,,,,
airbnb-dev,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],e130ddc474c2529fd7b0a49ee22278e4,,,,,,,,,
airbnb-dls-web,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],22a968e06d11f864c86ba6af82fbb97b,,,,,,,,,
airbnb-for-work,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],581981b66aab4d5119bc925385798515,,,,,,,,,
airbnb-for-work-sections,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],79645b27779baf8a135ee38fceb7506e,,,,,,,,,
airbnb-hyperloop,99.9.9,敏感信息泄露,敏感信息收集,nodejs,["https://api.telegram.org/bot1817723833:AAE53HNYANAlWGUXhtCXvdTeLxcRNqPT8e8"],7a06dc2b6b3508b70d81e6b76675c3b2,,,,,,,,,
